result|job_completion_time|descr|env_vars|environ|exclusive_access|extra_resources|job_completion_time_unix|job_exitcode|job_nodelist|job_submit_time|jobid|modules|name|num_cpus_per_task|num_gpus_per_node|num_tasks|num_tasks_per_core|num_tasks_per_node|num_tasks_per_socket|partition|latency_value|latency_unit|latency_ref|latency_lower_thres|latency_upper_thres|short_name|system|unique_name|use_multithreading|variant
pass|2025-05-14T00:32:33|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747175553.0|0|aion-0102|1747175326.1040437|7958055||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
pass|2025-05-14T00:54:42|OSU Latency test (8192B, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747176882.0|0|aion-0257|1747176666.0817778|7958502||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|2.28|us|0|None|None|OSULatencyTest_cab6c957|aion|OSULatencyTest_3|null|diff_socket_same_node
pass|2025-05-14T00:54:50|OSU Latency test (8192B, Src) [inter_node]|{}|foss-2023b|false|{}|1747176890.0|0|aion-0016,aion-0257|1747176660.0220406|7958500||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.92|us|0|None|None|OSULatencyTest_e5e4cb74|aion|OSULatencyTest_4|null|inter_node
pass|2025-05-14T00:54:58|OSU Latency test (8192B, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747176898.0|0|aion-0257|1747176670.0502853|7958504||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|2.27|us|0|None|None|OSULatencyTest_362b6d20|aion|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-14T00:55:06|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747176906.0|0|aion-0016|1747176678.1227407|7958508||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
pass|2025-05-14T00:55:13|OSU Latency test (8192B, Src) [same_numa]|{}|foss-2023b|false|{}|1747176913.0|0|aion-0257|1747176672.078284|7958506||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|0.59|us|0|None|None|OSULatencyTest_f802e61c|aion|OSULatencyTest_1|null|same_numa
pass|2025-05-14T01:24:46|OSU Latency test (8192B, Src) [inter_node]|{}|foss-2023b|false|{}|1747178686.0|0|aion-0092,aion-0268|1747178677.8440602|7959326||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.57|us|0|None|None|OSULatencyTest_e5e4cb74|aion|OSULatencyTest_4|null|inter_node
pass|2025-05-14T01:24:49|OSU Latency test (8192B, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747178689.0|0|aion-0092|1747178678.350393|7959327||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|2.27|us|0|None|None|OSULatencyTest_cab6c957|aion|OSULatencyTest_3|null|diff_socket_same_node
pass|2025-05-14T01:24:50|OSU Latency test (8192B, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747178690.0|0|aion-0268|1747178678.8588958|7959328||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_362b6d20|aion|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:24:53|OSU Latency test (8192B, Src) [same_numa]|{}|foss-2023b|false|{}|1747178693.0|0|aion-0268|1747178679.3656595|7959329||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|0.59|us|0|None|None|OSULatencyTest_f802e61c|aion|OSULatencyTest_1|null|same_numa
pass|2025-05-14T01:25:04|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747178704.0|0|aion-0268|1747178679.873551|7959330||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
pass|2025-05-14T02:30:34|OSU Latency test (8192B, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747182634.0|0|aion-0328|1747182000.6969354|7960608||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|2.28|us|0|None|None|OSULatencyTest_cab6c957|aion|OSULatencyTest_3|null|diff_socket_same_node
pass|2025-05-14T02:32:07|OSU Latency test (8192B, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747182727.0|0|aion-0328|1747182002.6982505|7960610||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|2.28|us|0|None|None|OSULatencyTest_362b6d20|aion|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-14T02:33:19|OSU Latency test (8192B, Src) [inter_node]|{}|foss-2023b|false|{}|1747182799.0|0|aion-0207,aion-0328|1747181998.7451727|7960606||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.47|us|0|None|None|OSULatencyTest_e5e4cb74|aion|OSULatencyTest_4|null|inter_node
pass|2025-05-14T02:33:30|OSU Latency test (8192B, Src) [same_numa]|{}|foss-2023b|false|{}|1747182810.0|0|aion-0328|1747182004.7472298|7960612||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|0.58|us|0|None|None|OSULatencyTest_f802e61c|aion|OSULatencyTest_1|null|same_numa
pass|2025-05-14T02:33:30|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747182810.0|0|aion-0207|1747182006.7257435|7960614||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
